feature,chunk_1,chunk_2,chunk_gpt3,chunk_gpt4,llama_3_8b,llama_3_8b_instruct,importance
f_57_verb_suasive,3.1640502996552335,3.3823369068799938,0.886724262855612,1.1472004530120834,1.454922187558674,0.9214551670551431,343.2750437203947
f_28_present_participle_whiz,1.3249973481220407,1.2491007384049473,1.8676922960584266,1.8402139969367004,1.0286518147151753,1.024368314472187,341.5867314199755
f_04_place_adverbials,3.195106831212767,3.0744966914009924,1.2714963601596723,1.26612904869333,1.2355410307048875,0.9610114694096675,333.80114808948343
f_10_demonstrative_pronoun,5.100238614143353,5.72364534718235,0.5539754938425515,0.5912543512374552,1.061239351714717,0.7604164942152437,327.0048005756377
f_05_time_adverbials,3.6166938265349926,3.485690733863294,0.6795464944183812,0.7311211677703193,1.0724317149462859,0.6245371483965286,322.05305876689306
f_45_conjuncts,1.5528836909483896,1.809087242513873,0.9128733557131512,1.5707616701757257,1.3247499876004867,1.2067062677792855,298.64292408108577
f_66_neg_synthetic,1.241306499046834,1.2644483795106354,0.47531333288915034,0.41026243618000985,1.0057263401712861,0.3346798204093131,292.7216149025582
f_06_first_person_pronouns,25.750695132001567,26.913581477148423,0.8115096210299988,0.5794244178530975,1.3340815105960973,1.161054159658839,286.4210200037884
f_61_stranded_preposition,0.8604619187321281,0.9210895936732262,0.6187560493860224,0.5212100462262086,0.6406124221307012,0.8541528902452321,279.978558372522
f_11_indefinite_pronouns,2.88749548442389,3.1660949598454398,0.5880702984819348,0.5526662874278478,1.5529712814065781,0.8271875587310795,266.31908026636364
f_07_second_person_pronouns,12.332034083788907,13.753636015752688,0.5215859890158131,0.3985870311879049,1.2741341828408281,0.6569310635695915,262.0175996045615
f_31_wh_subj,2.2777490377626295,2.292628090074187,0.7706061592682367,0.6678876393518953,1.0525022526519778,1.1426449139193804,234.5731266663683
f_23_wh_clause,1.642957685322515,1.7638388289906033,0.6336330896282261,0.5792645538863074,1.3376606648390572,0.7876750833582801,231.3645828835242
f_53_modal_necessity,1.2132774429111577,1.333279050299761,0.8608300499351592,1.0668678894736774,1.5120211912445918,0.668209678265031,228.95506416771352
f_18_by_passives,0.8374164467426146,0.8297840258123408,0.847707731193074,0.8259291028412195,1.0785941414949773,1.3929350772651126,223.26420330841225
f_13_wh_question,1.4854426346779686,1.5035634359221364,0.5252058623262469,0.622042678986639,1.4153778198350548,1.1503486018376694,208.1685138331879
f_36_though,0.5176743622763821,0.560364818407854,0.3046942532520389,0.6539112747337108,0.9119347527891328,0.1461041050835947,200.12719281010834
f_58_verb_seem,0.7697960042767426,0.756856740087445,1.128098236547162,1.5448246096155698,1.0328839195380648,1.0781548553949722,146.62008351471192
f_22_that_adj_comp,0.32857417096563235,0.34983810909089585,1.2077578193764245,0.9703232397327586,1.6508710747081592,2.222180033291254,125.75936595881483
f_50_discourse_particles,1.1765342947734558,1.1979456092096068,0.4308435187268022,0.4536785056944154,1.2183584312419697,0.5535481349235215,121.56035175614633
f_33_pied_piping,0.5034546685219516,0.5203647064651923,0.4808302695698681,0.7486139609875618,0.5063520156236503,0.653392441584569,113.83667643581155
f_47_hedges,0.7899322745344552,0.9118137890316912,0.5119568249115097,0.6801020336506594,1.2334516584968727,0.8626775403730722,111.72465336370372
f_26_past_participle,0.3220590644897987,0.29209798385868013,1.867119996784214,2.4607641521640957,0.5742188689735983,1.1582135590567453,108.91663354626502
f_30_that_obj,0.49023441747501206,0.5164597655144241,0.8309946666470405,0.732921291087818,0.6101370608840848,0.7929359507226285,103.47026043464763
f_60_that_deletion,0.5528279318228433,0.6351948350798434,0.6886164551622109,0.583952573335274,1.536085793625531,0.760630838304365,101.37915117492288
f_62_split_infinitve,0.17714401690993808,0.21399104794609827,1.1801923805554804,1.3788196722514567,0.4194251999001894,0.9391826700450026,69.22377923282849
f_32_wh_obj,0.13338601485526227,0.14479912291816452,0.32495825767299363,0.27109813365975893,0.6644788052030485,0.17095911699033953,26.605245744688435
